geo_accession	cell_line	treatment	tissue	dose_nM	time_hours
GSM3231646	786-0	5-Azacytidine	Renal	0	2
GSM3231647	786-0	5-Azacytidine	Renal	0	6
GSM3231645	786-0	5-Azacytidine	Renal	0	24
GSM3231649	786-0	5-Azacytidine	Renal	1000	2
GSM3231650	786-0	5-Azacytidine	Renal	1000	6
GSM3231648	786-0	5-Azacytidine	Renal	1000	24
GSM3231652	786-0	5-Azacytidine	Renal	5000	2
GSM3231653	786-0	5-Azacytidine	Renal	5000	6
GSM3231651	786-0	5-Azacytidine	Renal	5000	24
GSM3232086	786-0	bortezomib	Renal	0	2
GSM3232087	786-0	bortezomib	Renal	0	6
GSM3232085	786-0	bortezomib	Renal	0	24
GSM3232092	786-0	bortezomib	Renal	10	2
GSM3232093	786-0	bortezomib	Renal	10	6
GSM3232091	786-0	bortezomib	Renal	10	24
GSM3232089	786-0	bortezomib	Renal	100	2
GSM3232090	786-0	bortezomib	Renal	100	6
GSM3232088	786-0	bortezomib	Renal	100	24
GSM3234122	786-0	erlotinib	Renal	0	2
GSM3234123	786-0	erlotinib	Renal	0	6
GSM3234121	786-0	erlotinib	Renal	0	24
GSM3234128	786-0	erlotinib	Renal	1000	2
GSM3234129	786-0	erlotinib	Renal	1000	6
GSM3234127	786-0	erlotinib	Renal	1000	24
GSM3234125	786-0	erlotinib	Renal	10000	2
GSM3234126	786-0	erlotinib	Renal	10000	6
GSM3234124	786-0	erlotinib	Renal	10000	24
GSM3234658	786-0	geldanamycin	Renal	0	2
GSM3234659	786-0	geldanamycin	Renal	0	6
GSM3234657	786-0	geldanamycin	Renal	0	24
GSM3234664	786-0	geldanamycin	Renal	100	2
GSM3234665	786-0	geldanamycin	Renal	100	6
GSM3234663	786-0	geldanamycin	Renal	100	24
GSM3234661	786-0	geldanamycin	Renal	1000	2
GSM3234662	786-0	geldanamycin	Renal	1000	6
GSM3234660	786-0	geldanamycin	Renal	1000	24
GSM3237183	786-0	sorafenib	Renal	0	2
GSM3237184	786-0	sorafenib	Renal	0	6
GSM3237182	786-0	sorafenib	Renal	0	24
GSM3237189	786-0	sorafenib	Renal	5000	2
GSM3237190	786-0	sorafenib	Renal	5000	6
GSM3237188	786-0	sorafenib	Renal	5000	24
GSM3237186	786-0	sorafenib	Renal	10000	2
GSM3237187	786-0	sorafenib	Renal	10000	6
GSM3237185	786-0	sorafenib	Renal	10000	24
GSM3238752	786-0	vorinostat	Renal	0	2
GSM3238753	786-0	vorinostat	Renal	0	6
GSM3238751	786-0	vorinostat	Renal	0	24
GSM3238755	786-0	vorinostat	Renal	1000	2
GSM3238756	786-0	vorinostat	Renal	1000	6
GSM3238754	786-0	vorinostat	Renal	1000	24
GSM3238758	786-0	vorinostat	Renal	5000	2
GSM3238759	786-0	vorinostat	Renal	5000	6
GSM3238757	786-0	vorinostat	Renal	5000	24
GSM3232611	A498	cisplatin	Renal	0	2
GSM3232612	A498	cisplatin	Renal	0	6
GSM3232610	A498	cisplatin	Renal	0	24
GSM3232617	A498	cisplatin	Renal	3000	2
GSM3232618	A498	cisplatin	Renal	3000	6
GSM3232616	A498	cisplatin	Renal	3000	24
GSM3232614	A498	cisplatin	Renal	15000	2
GSM3232615	A498	cisplatin	Renal	15000	6
GSM3232613	A498	cisplatin	Renal	15000	24
GSM3234131	A498	erlotinib	Renal	0	2
GSM3234132	A498	erlotinib	Renal	0	6
